"","Sample Accession or Sample ID","Study_Accession","Run_Accession","Phenotype"
"1169","SAMEA2737676","PRJEB6997","ERR589534","Rheumatoid Arthritis"
"1170","SAMEA2737677","PRJEB6997","ERR589535","Rheumatoid Arthritis"
"1171","SAMEA2737678","PRJEB6997","ERR589536","Rheumatoid Arthritis"
"1172","SAMEA2737679","PRJEB6997","ERR589537","Rheumatoid Arthritis"
"1173","SAMEA2737680","PRJEB6997","ERR589538","Rheumatoid Arthritis"
"1174","SAMEA2737681","PRJEB6997","ERR589539","Healthy"
"1175","SAMEA2737682","PRJEB6997","ERR589540","Rheumatoid Arthritis"
"1177","SAMEA2737684","PRJEB6997","ERR589543","Rheumatoid Arthritis"
"1178","SAMEA2737685","PRJEB6997","ERR589544","Rheumatoid Arthritis"
"1179","SAMEA2737686","PRJEB6997","ERR589545","Healthy"
"1180","SAMEA2737687","PRJEB6997","ERR589546","Rheumatoid Arthritis"
"1181","SAMEA2737688","PRJEB6997","ERR589547","Rheumatoid Arthritis"
"1182","SAMEA2737689","PRJEB6997","ERR589548","Rheumatoid Arthritis"
"1183","SAMEA2737690","PRJEB6997","ERR589549","Obesity"
"1184","SAMEA2737691","PRJEB6997","ERR589550","Rheumatoid Arthritis"
"1185","SAMEA2737692","PRJEB6997","ERR589551","Overweight"
"1186","SAMEA2737693","PRJEB6997","ERR589552","Healthy"
"1187","SAMEA2737694","PRJEB6997","ERR589553","Rheumatoid Arthritis"
"1188","SAMEA2737695","PRJEB6997","ERR589554","Rheumatoid Arthritis"
"1189","SAMEA2737696","PRJEB6997","ERR589555","Rheumatoid Arthritis"
"1190","SAMEA2737697","PRJEB6997","ERR589556","Rheumatoid Arthritis"
"1191","SAMEA2737698","PRJEB6997","ERR589557","Rheumatoid Arthritis"
"1192","SAMEA2737699","PRJEB6997","ERR589558","Rheumatoid Arthritis"
"1193","SAMEA2737700","PRJEB6997","ERR589559","Rheumatoid Arthritis"
"1194","SAMEA2737701","PRJEB6997","ERR589560","Rheumatoid Arthritis"
"1195","SAMEA2737702","PRJEB6997","ERR589561","Rheumatoid Arthritis"
"1196","SAMEA2737703","PRJEB6997","ERR589562","Rheumatoid Arthritis"
"1197","SAMEA2737704","PRJEB6997","ERR589563","Rheumatoid Arthritis"
"1198","SAMEA2737705","PRJEB6997","ERR589564","Overweight"
"1199","SAMEA2737706","PRJEB6997","ERR589565","Rheumatoid Arthritis"
"1200","SAMEA2737707","PRJEB6997","ERR589566","Healthy"
"1201","SAMEA2737708","PRJEB6997","ERR589567","Rheumatoid Arthritis"
"1202","SAMEA2737709","PRJEB6997","ERR589568","Obesity"
"1203","SAMEA2737710","PRJEB6997","ERR589569","Rheumatoid Arthritis"
"1204","SAMEA2737711","PRJEB6997","ERR589570","Overweight"
"1205","SAMEA2737712","PRJEB6997","ERR589571","Rheumatoid Arthritis"
"1206","SAMEA2737713","PRJEB6997","ERR589572","Rheumatoid Arthritis"
"1207","SAMEA2737715","PRJEB6997","ERR589574","Rheumatoid Arthritis"
"1208","SAMEA2737716","PRJEB6997","ERR589575","Overweight"
"1209","SAMEA2737717","PRJEB6997","ERR589576","Rheumatoid Arthritis"
"1210","SAMEA2737718","PRJEB6997","ERR589577","Rheumatoid Arthritis"
"1211","SAMEA2737719","PRJEB6997","ERR589578","Overweight"
"1212","SAMEA2737720","PRJEB6997","ERR589579","Healthy"
"1213","SAMEA2737721","PRJEB6997","ERR589580","Rheumatoid Arthritis"
"1214","SAMEA2737722","PRJEB6997","ERR589581","Rheumatoid Arthritis"
"1215","SAMEA2737723","PRJEB6997","ERR589582","Healthy"
"1216","SAMEA2737724","PRJEB6997","ERR589583","Rheumatoid Arthritis"
"1217","SAMEA2737726","PRJEB6997","ERR589585","Rheumatoid Arthritis"
"1218","SAMEA2737727","PRJEB6997","ERR589586","Rheumatoid Arthritis"
"1219","SAMEA2737728","PRJEB6997","ERR589587","Rheumatoid Arthritis"
"1220","SAMEA2737730","PRJEB6997","ERR589589","Rheumatoid Arthritis"
"1221","SAMEA2737731","PRJEB6997","ERR589590","Rheumatoid Arthritis"
"1222","SAMEA2737732","PRJEB6997","ERR589591","Rheumatoid Arthritis"
"1223","SAMEA2737733","PRJEB6997","ERR589592","Rheumatoid Arthritis"
"1224","SAMEA2737734","PRJEB6997","ERR589593","Healthy"
"1225","SAMEA2737735","PRJEB6997","ERR589594","Rheumatoid Arthritis"
"1226","SAMEA2737736","PRJEB6997","ERR589595","Rheumatoid Arthritis"
"1227","SAMEA2737737","PRJEB6997","ERR589732","Rheumatoid Arthritis"
"1229","SAMEA2737739","PRJEB6997","ERR589734","Rheumatoid Arthritis"
"1230","SAMEA2737740","PRJEB6997","ERR589735","Rheumatoid Arthritis"
"1231","SAMEA2737741","PRJEB6997","ERR589736","Rheumatoid Arthritis"
"1232","SAMEA2737742","PRJEB6997","ERR589737","Rheumatoid Arthritis"
"1233","SAMEA2737743","PRJEB6997","ERR589738","Rheumatoid Arthritis"
"1234","SAMEA2737745","PRJEB6997","ERR589740","Rheumatoid Arthritis"
"1235","SAMEA2737746","PRJEB6997","ERR589741","Rheumatoid Arthritis"
"1236","SAMEA2737747","PRJEB6997","ERR589742","Rheumatoid Arthritis"
"1237","SAMEA2737749","PRJEB6997","ERR589744","Rheumatoid Arthritis"
"1238","SAMEA2737750","PRJEB6997","ERR589745","Rheumatoid Arthritis"
"1239","SAMEA2737752","PRJEB6997","ERR589747","Rheumatoid Arthritis"
"1240","SAMEA2737753","PRJEB6997","ERR589748","Rheumatoid Arthritis"
"1241","SAMEA2737754","PRJEB6997","ERR589749","Healthy"
"1242","SAMEA2737759","PRJEB6997","ERR589754","Healthy"
"1243","SAMEA2737760","PRJEB6997","ERR589755","Rheumatoid Arthritis"
"1244","SAMEA2737761","PRJEB6997","ERR589756","Rheumatoid Arthritis"
"1245","SAMEA2737764","PRJEB6997","ERR589759","Rheumatoid Arthritis"
"1246","SAMEA2737766","PRJEB6997","ERR589761","Healthy"
"1247","SAMEA2737768","PRJEB6997","ERR589763","Rheumatoid Arthritis"
"1248","SAMEA2737769","PRJEB6997","ERR589764","Rheumatoid Arthritis"
"1249","SAMEA2737771","PRJEB6997","ERR589766","Healthy"
"1250","SAMEA2737772","PRJEB6997","ERR589767","Rheumatoid Arthritis"
"1251","SAMEA2737773","PRJEB6997","ERR589768","Overweight"
"1252","SAMEA2737774","PRJEB6997","ERR589769","Rheumatoid Arthritis"
"1253","SAMEA2737775","PRJEB6997","ERR589770","Rheumatoid Arthritis"
"1254","SAMEA2737776","PRJEB6997","ERR589771","Rheumatoid Arthritis"
"1255","SAMEA2737777","PRJEB6997","ERR589772","Rheumatoid Arthritis"
"1256","SAMEA2737778","PRJEB6997","ERR589773","Rheumatoid Arthritis"
"1257","SAMEA2737779","PRJEB6997","ERR589774","Rheumatoid Arthritis"
"1258","SAMEA2737780","PRJEB6997","ERR589775","Rheumatoid Arthritis"
"1259","SAMEA2737781","PRJEB6997","ERR589776","Rheumatoid Arthritis"
"1260","SAMEA2737782","PRJEB6997","ERR589777","Rheumatoid Arthritis"
"1261","SAMEA2737783","PRJEB6997","ERR589778","Rheumatoid Arthritis"
"1262","SAMEA2737784","PRJEB6997","ERR589779","Rheumatoid Arthritis"
"1263","SAMEA2737785","PRJEB6997","ERR589780","Rheumatoid Arthritis"
"1264","SAMEA2737786","PRJEB6997","ERR589781","Overweight"
"1265","SAMEA2737787","PRJEB6997","ERR589782","Rheumatoid Arthritis"
"1266","SAMEA2737789","PRJEB6997","ERR589784","Healthy"
"1267","SAMEA2737790","PRJEB6997","ERR589785","Healthy"
"1268","SAMEA2737791","PRJEB6997","ERR589786","Rheumatoid Arthritis"
"1269","SAMEA2737793","PRJEB6997","ERR589788","Healthy"
"1270","SAMEA2737794","PRJEB6997","ERR589789","Overweight"
"1271","SAMEA2737795","PRJEB6997","ERR589790","Healthy"
"1272","SAMEA2737796","PRJEB6997","ERR589791","Overweight"
"1273","SAMEA2737797","PRJEB6997","ERR589792","Healthy"
"1274","SAMEA2737798","PRJEB6997","ERR589793","Healthy"
"1275","SAMEA2737799","PRJEB6997","ERR589794","Healthy"
"1276","SAMEA2737800","PRJEB6997","ERR589795","Healthy"
"1277","SAMEA2737801","PRJEB6997","ERR589796","Healthy"
"1278","SAMEA2737802","PRJEB6997","ERR589797","Healthy"
"1279","SAMEA2737803","PRJEB6997","ERR589798","Healthy"
"1280","SAMEA2737804","PRJEB6997","ERR589799","Overweight"
"1281","SAMEA2737805","PRJEB6997","ERR589800","Obesity"
"1282","SAMEA2737806","PRJEB6997","ERR589801","Healthy"
"1283","SAMEA2737809","PRJEB6997","ERR589804","Rheumatoid Arthritis"
"1284","SAMEA2737810","PRJEB6997","ERR589805","Healthy"
"1285","SAMEA2737811","PRJEB6997","ERR589806","Overweight"
"1286","SAMEA2737812","PRJEB6997","ERR589807","Overweight"
"1287","SAMEA2737813","PRJEB6997","ERR589808","Healthy"
"1289","SAMEA2737815","PRJEB6997","ERR589810","Healthy"
"1290","SAMEA2737816","PRJEB6997","ERR589811","Healthy"
"1291","SAMEA2737818","PRJEB6997","ERR589813","Healthy"
"1293","SAMEA2737822","PRJEB6997","ERR589817","Overweight"
"1294","SAMEA2737823","PRJEB6997","ERR589818","Healthy"
"1295","SAMEA2737824","PRJEB6997","ERR589819","Overweight"
"1296","SAMEA2737825","PRJEB6997","ERR589820","Healthy"
"1297","SAMEA2737826","PRJEB6997","ERR589821","Overweight"
"1298","SAMEA2737830","PRJEB6997","ERR589825","Healthy"
"1299","SAMEA2737831","PRJEB6997","ERR589826","Healthy"
"1300","SAMEA2737832","PRJEB6997","ERR589827","Healthy"
"1301","SAMEA2737833","PRJEB6997","ERR589828","Rheumatoid Arthritis"
"1302","SAMEA2737834","PRJEB6997","ERR589829","Healthy"
"1303","SAMEA2737835","PRJEB6997","ERR589830","Overweight"
"1304","SAMEA2737836","PRJEB6997","ERR589831","Rheumatoid Arthritis"
"1305","SAMEA2737838","PRJEB6997","ERR589833","Rheumatoid Arthritis"
"1306","SAMEA2737840","PRJEB6997","ERR589835","Overweight"
"1307","SAMEA2737841","PRJEB6997","ERR589836","Healthy"
"1308","SAMEA2737842","PRJEB6997","ERR589837","Overweight"
"1309","SAMEA2737843","PRJEB6997","ERR589838","Healthy"
"1310","SAMEA2737844","PRJEB6997","ERR589839","Healthy"
"1311","SAMEA2737847","PRJEB6997","ERR589842","Rheumatoid Arthritis"
"1312","SAMEA2737848","PRJEB6997","ERR589843","Rheumatoid Arthritis"
"1313","SAMEA2737850","PRJEB6997","ERR589845","Healthy"
"1315","SAMEA2737852","PRJEB6997","ERR589847","Overweight"
"1316","SAMEA2737853","PRJEB6997","ERR589848","Healthy"
"1317","SAMEA2737854","PRJEB6997","ERR589849","Overweight"
"1318","SAMEA2737855","PRJEB6997","ERR589850","Overweight"
"1319","SAMEA2737856","PRJEB6997","ERR589851","Healthy"
"1320","SAMEA2737857","PRJEB6997","ERR589852","Overweight"
"1321","SAMEA2737858","PRJEB6997","ERR589853","Healthy"
"1322","SAMEA2737859","PRJEB6997","ERR589854","Rheumatoid Arthritis"
"1323","SAMEA2737860","PRJEB6997","ERR589855","Healthy"
"1324","SAMEA2737861","PRJEB6997","ERR589856","Healthy"
"1325","SAMEA2737862","PRJEB6997","ERR589857","Healthy"
"1326","SAMEA2737863","PRJEB6997","ERR589858","Overweight"
"1327","SAMEA2737864","PRJEB6997","ERR589859","Healthy"
"1328","SAMEA2737865","PRJEB6997","ERR589860","Overweight"
"1329","SAMEA2737866","PRJEB6997","ERR589861","Healthy"
"1330","SAMEA2737867","PRJEB6997","ERR589862","Healthy"
"1331","SAMEA2737868","PRJEB6997","ERR589863","Overweight"
"1332","SAMEA2737869","PRJEB6997","ERR589864","Healthy"
"1333","SAMEA2737870","PRJEB6997","ERR589865","Healthy"
"1335","SAMEA2737872","PRJEB6997","ERR589867","Healthy"
"1336","SAMEA2737873","PRJEB6997","ERR589868","Healthy"
"1337","SAMEA2737874","PRJEB6997","ERR589869","Healthy"
"1338","SAMEA2737875","PRJEB6997","ERR589870","Rheumatoid Arthritis"
"1339","SAMEA2737876","PRJEB6997","ERR589871","Healthy"
"1340","SAMEA2737877","PRJEB6997","ERR589872","Healthy"
"1341","SAMEA2737878","PRJEB6997","ERR589873","Healthy"
"1342","SAMEA2737879","PRJEB6997","ERR589874","Overweight"
"1343","SAMEA2737880","PRJEB6997","ERR589875","Overweight"
"1344","SAMEA3136623","PRJEB7774","ERR688566","Obesity"
"1345","SAMEA3136624","PRJEB7774","ERR688552","Obesity"
"1346","SAMEA3136625","PRJEB7774","ERR688556","Obesity"
"1347","SAMEA3136626","PRJEB7774","ERR688539","Obesity"
"1348","SAMEA3136627","PRJEB7774","ERR688600","Obesity"
"1349","SAMEA3136628","PRJEB7774","ERR688612","Obesity"
"1350","SAMEA3136629","PRJEB7774","ERR688590","Overweight"
"1351","SAMEA3136630","PRJEB7774","ERR688514","Obesity"
"1352","SAMEA3136631","PRJEB7774","ERR688603","Overweight"
"1353","SAMEA3136632","PRJEB7774","ERR688559","Overweight"
"1354","SAMEA3136633","PRJEB7774","ERR688562","Overweight"
"1355","SAMEA3136634","PRJEB7774","ERR688516","Overweight"
"1356","SAMEA3136635","PRJEB7774","ERR688554","Overweight"
"1357","SAMEA3136636","PRJEB7774","ERR688598","Overweight"
"1358","SAMEA3136637","PRJEB7774","ERR688622","Healthy"
"1359","SAMEA3136638","PRJEB7774","ERR688507","Healthy"
"1360","SAMEA3136639","PRJEB7774","ERR688594","Healthy"
"1361","SAMEA3136640","PRJEB7774","ERR688606","Healthy"
"1362","SAMEA3136641","PRJEB7774","ERR688619","Healthy"
"1363","SAMEA3136642","PRJEB7774","ERR688610","Healthy"
"1364","SAMEA3136643","PRJEB7774","ERR688617","Healthy"
"1365","SAMEA3136644","PRJEB7774","ERR688528","Healthy"
"1366","SAMEA3136645","PRJEB7774","ERR688544","Healthy"
"1367","SAMEA3136646","PRJEB7774","ERR688563","Healthy"
"1368","SAMEA3136647","PRJEB7774","ERR688648","Overweight"
"1369","SAMEA3136648","PRJEB7774","ERR688506","Obesity"
"1370","SAMEA3136649","PRJEB7774","ERR688607","Obesity"
"1371","SAMEA3136651","PRJEB7774","ERR688596","Obesity"
"1372","SAMEA3136652","PRJEB7774","ERR688564","Obesity"
"1373","SAMEA3136653","PRJEB7774","ERR688616","Obesity"
"1374","SAMEA3136654","PRJEB7774","ERR688529","Obesity"
"1375","SAMEA3136655","PRJEB7774","ERR688599","Obesity"
"1376","SAMEA3136656","PRJEB7774","ERR688535","Obesity"
"1377","SAMEA3136657","PRJEB7774","ERR688510","Obesity"
"1378","SAMEA3136658","PRJEB7774","ERR688565","Obesity"
"1379","SAMEA3136659","PRJEB7774","ERR688624","Overweight"
"1380","SAMEA3136660","PRJEB7774","ERR688511","Overweight"
"1381","SAMEA3136661","PRJEB7774","ERR688591","Overweight"
"1382","SAMEA3136662","PRJEB7774","ERR688550","Overweight"
"1383","SAMEA3136663","PRJEB7774","ERR688520","Overweight"
"1384","SAMEA3136664","PRJEB7774","ERR688533","Overweight"
"1385","SAMEA3136665","PRJEB7774","ERR688532","Overweight"
"1386","SAMEA3136666","PRJEB7774","ERR688605","Obesity"
"1387","SAMEA3136667","PRJEB7774","ERR688551","Overweight"
"1388","SAMEA3136668","PRJEB7774","ERR688543","Healthy"
"1389","SAMEA3136669","PRJEB7774","ERR688646","Healthy"
"1390","SAMEA3136670","PRJEB7774","ERR688509","Healthy"
"1391","SAMEA3136671","PRJEB7774","ERR688614","Healthy"
"1392","SAMEA3136672","PRJEB7774","ERR688608","Healthy"
"1393","SAMEA3136673","PRJEB7774","ERR688530","Healthy"
"1394","SAMEA3136674","PRJEB7774","ERR688518","Healthy"
"1395","SAMEA3136675","PRJEB7774","ERR688593","Healthy"
"1396","SAMEA3136676","PRJEB7774","ERR688523","Healthy"
"1397","SAMEA3136678","PRJEB7774","ERR688595","Obesity"
"1398","SAMEA3136679","PRJEB7774","ERR688557","Overweight"
"1399","SAMEA3136680","PRJEB7774","ERR688536","advanced adenoma"
"1400","SAMEA3136682","PRJEB7774","ERR688601","advanced adenoma"
"1401","SAMEA3136683","PRJEB7774","ERR688604","advanced adenoma"
"1402","SAMEA3136684","PRJEB7774","ERR688626","advanced adenoma"
"1403","SAMEA3136685","PRJEB7774","ERR688546","advanced adenoma"
"1404","SAMEA3136686","PRJEB7774","ERR688621","advanced adenoma"
"1405","SAMEA3136687","PRJEB7774","ERR688587","advanced adenoma"
"1406","SAMEA3136688","PRJEB7774","ERR688628","advanced adenoma"
"1407","SAMEA3136689","PRJEB7774","ERR688545","advanced adenoma"
"1408","SAMEA3136691","PRJEB7774","ERR688538","advanced adenoma"
"1409","SAMEA3136693","PRJEB7774","ERR688522","advanced adenoma"
"1410","SAMEA3136694","PRJEB7774","ERR688611","advanced adenoma"
"1411","SAMEA3136695","PRJEB7774","ERR688597","advanced adenoma"
"1412","SAMEA3136696","PRJEB7774","ERR688585","advanced adenoma"
"1413","SAMEA3136697","PRJEB7774","ERR688625","advanced adenoma"
"1414","SAMEA3136698","PRJEB7774","ERR688592","advanced adenoma"
"1415","SAMEA3136699","PRJEB7774","ERR688630","advanced adenoma"
"1416","SAMEA3136700","PRJEB7774","ERR688633","advanced adenoma"
"1417","SAMEA3136701","PRJEB7774","ERR688629","advanced adenoma"
"1418","SAMEA3136703","PRJEB7774","ERR688508","advanced adenoma"
"1419","SAMEA3136704","PRJEB7774","ERR688526","advanced adenoma"
"1420","SAMEA3136705","PRJEB7774","ERR688586","advanced adenoma"
"1421","SAMEA3136706","PRJEB7774","ERR688542","advanced adenoma"
"1422","SAMEA3136707","PRJEB7774","ERR688524","advanced adenoma"
"1423","SAMEA3136708","PRJEB7774","ERR688584","advanced adenoma"
"1424","SAMEA3136709","PRJEB7774","ERR688609","advanced adenoma"
"1425","SAMEA3136710","PRJEB7774","ERR688588","advanced adenoma"
"1426","SAMEA3136711","PRJEB7774","ERR688602","advanced adenoma"
"1427","SAMEA3136712","PRJEB7774","ERR688512","advanced adenoma"
"1428","SAMEA3136713","PRJEB7774","ERR688540","advanced adenoma"
"1429","SAMEA3136714","PRJEB7774","ERR688519","advanced adenoma"
"1430","SAMEA3136715","PRJEB7774","ERR688620","advanced adenoma"
"1431","SAMEA3136716","PRJEB7774","ERR688555","advanced adenoma"
"1432","SAMEA3136717","PRJEB7774","ERR688623","advanced adenoma"
"1433","SAMEA3136718","PRJEB7774","ERR688627","advanced adenoma"
"1434","SAMEA3136719","PRJEB7774","ERR688613","advanced adenoma"
"1435","SAMEA3136720","PRJEB7774","ERR688615","advanced adenoma"
"1436","SAMEA3136721","PRJEB7774","ERR688589","advanced adenoma"
"1437","SAMEA3136723","PRJEB7774","ERR688632","advanced adenoma"
"1438","SAMEA3136724","PRJEB7774","ERR688541","CRC"
"1439","SAMEA3136725","PRJEB7774","ERR688582","CRC"
"1440","SAMEA3136726","PRJEB7774","ERR688569","CRC"
"1441","SAMEA3136727","PRJEB7774","ERR688575","CRC"
"1442","SAMEA3136728","PRJEB7774","ERR688553","CRC"
"1443","SAMEA3136729","PRJEB7774","ERR688579","CRC"
"1444","SAMEA3136730","PRJEB7774","ERR688640","CRC"
"1445","SAMEA3136731","PRJEB7774","ERR688578","CRC"
"1446","SAMEA3136732","PRJEB7774","ERR688618","CRC"
"1447","SAMEA3136733","PRJEB7774","ERR688636","CRC"
"1448","SAMEA3136734","PRJEB7774","ERR688570","CRC"
"1449","SAMEA3136735","PRJEB7774","ERR688643","CRC"
"1450","SAMEA3136736","PRJEB7774","ERR688651","CRC"
"1451","SAMEA3136737","PRJEB7774","ERR688568","CRC"
"1452","SAMEA3136738","PRJEB7774","ERR688517","CRC"
"1453","SAMEA3136739","PRJEB7774","ERR688649","CRC"
"1454","SAMEA3136740","PRJEB7774","ERR688577","CRC"
"1455","SAMEA3136741","PRJEB7774","ERR688647","CRC"
"1456","SAMEA3136742","PRJEB7774","ERR688573","CRC"
"1457","SAMEA3136743","PRJEB7774","ERR688525","CRC"
"1458","SAMEA3136744","PRJEB7774","ERR688641","CRC"
"1459","SAMEA3136745","PRJEB7774","ERR688644","CRC"
"1460","SAMEA3136746","PRJEB7774","ERR688634","CRC"
"1461","SAMEA3136747","PRJEB7774","ERR688521","CRC"
"1462","SAMEA3136749","PRJEB7774","ERR688639","CRC"
"1463","SAMEA3136750","PRJEB7774","ERR688572","CRC"
"1464","SAMEA3136751","PRJEB7774","ERR688515","CRC"
"1465","SAMEA3136752","PRJEB7774","ERR688576","CRC"
"1466","SAMEA3136753","PRJEB7774","ERR688567","CRC"
"1467","SAMEA3136754","PRJEB7774","ERR688527","CRC"
"1468","SAMEA3136755","PRJEB7774","ERR688547","CRC"
"1469","SAMEA3136756","PRJEB7774","ERR688558","CRC"
"1470","SAMEA3136757","PRJEB7774","ERR688637","CRC"
"1471","SAMEA3136758","PRJEB7774","ERR688571","CRC"
"1472","SAMEA3136760","PRJEB7774","ERR688574","CRC"
"1473","SAMEA3136761","PRJEB7774","ERR688581","CRC"
"1474","SAMEA3136762","PRJEB7774","ERR688650","CRC"
"1475","SAMEA3136763","PRJEB7774","ERR688583","CRC"
"1476","SAMEA3136764","PRJEB7774","ERR688642","CRC"
"1477","SAMEA3136765","PRJEB7774","ERR688534","CRC"
"1478","SAMEA3136766","PRJEB7774","ERR688548","CRC"
"1479","SAMEA3136767","PRJEB7774","ERR688580","CRC"
"1480","SAMEA3136769","PRJEB7774","ERR688513","CRC"
"1481","SAMEA3178936","PRJEB7774","ERR710426","Overweight"
"1482","SAMEA3178937","PRJEB7774","ERR710427","Overweight"
"1483","SAMEA3178938","PRJEB7774","ERR710428","Overweight"
"1484","SAMEA3178939","PRJEB7774","ERR710429","Healthy"
"1485","SAMEA3178940","PRJEB7774","ERR710430","Obesity"
"1486","SAMEA3178941","PRJEB7774","ERR710431","advanced adenoma"
"1487","SAMEA3178942","PRJEB7774","ERR710425","advanced adenoma"
"1488","SAMEA3178943","PRJEB7774","ERR710432","Healthy"
"1489","SAMEA3178944","PRJEB7774","ERR710424","advanced adenoma"
"1491","SAMEA3182046","PRJEB8094","ERR719961","Healthy"
"1492","SAMEA3182048","PRJEB8094","ERR720086","Overweight"
"1494","SAMEA3182050","PRJEB8094","ERR720153","Healthy"
"1495","SAMEA3182051","PRJEB8094","ERR720186","Healthy"
"1496","SAMEA3182052","PRJEB8094","ERR719148","Healthy"
"1497","SAMEA3182053","PRJEB8094","ERR720208","Healthy"
"1498","SAMEA3182054","PRJEB8094","ERR719239","Healthy"
"1499","SAMEA3182055","PRJEB8094","ERR719274","Healthy"
"1500","SAMEA3182056","PRJEB8094","ERR719316","Healthy"
"1501","SAMEA3182057","PRJEB8094","ERR719352","Overweight"
"1502","SAMEA3182058","PRJEB8094","ERR719402","Overweight"
"1503","SAMEA3182060","PRJEB8094","ERR719516","Healthy"
"1504","SAMEA3182061","PRJEB8094","ERR719556","Healthy"
"1505","SAMEA3182062","PRJEB8094","ERR719623","Healthy"
"1506","SAMEA3182063","PRJEB8094","ERR719701","Healthy"
"1507","SAMEA3182064","PRJEB8094","ERR719751","Healthy"
"1508","SAMEA3182065","PRJEB8094","ERR719806","Overweight"
"1509","SAMEA3182066","PRJEB8094","ERR719866","Healthy"
"1510","SAMEA3182067","PRJEB8094","ERR719911","Healthy"
"1511","SAMEA3182068","PRJEB8094","ERR719996","Healthy"
"1512","SAMEA3541469","PRJEB10878","ERR1018185","CRC"
"1513","SAMEA3541470","PRJEB10878","ERR1018186","CRC"
"1514","SAMEA3541471","PRJEB10878","ERR1018187","CRC"
"1515","SAMEA3541472","PRJEB10878","ERR1018188","CRC"
"1516","SAMEA3541473","PRJEB10878","ERR1018189","CRC"
"1517","SAMEA3541475","PRJEB10878","ERR1018191","CRC"
"1518","SAMEA3541476","PRJEB10878","ERR1018192","CRC"
"1519","SAMEA3541478","PRJEB10878","ERR1018194","CRC"
"1520","SAMEA3541480","PRJEB10878","ERR1018196","CRC"
"1521","SAMEA3541481","PRJEB10878","ERR1018197","CRC"
"1522","SAMEA3541482","PRJEB10878","ERR1018198","CRC"
"1523","SAMEA3541483","PRJEB10878","ERR1018199","CRC"
"1524","SAMEA3541484","PRJEB10878","ERR1018200","CRC"
"1525","SAMEA3541487","PRJEB10878","ERR1018203","CRC"
"1526","SAMEA3541488","PRJEB10878","ERR1018204","CRC"
"1527","SAMEA3541490","PRJEB10878","ERR1018206","CRC"
"1528","SAMEA3541491","PRJEB10878","ERR1018207","CRC"
"1529","SAMEA3541492","PRJEB10878","ERR1018208","CRC"
"1530","SAMEA3541494","PRJEB10878","ERR1018210","CRC"
"1531","SAMEA3541495","PRJEB10878","ERR1018211","CRC"
"1532","SAMEA3541496","PRJEB10878","ERR1018212","CRC"
"1533","SAMEA3541497","PRJEB10878","ERR1018213","CRC"
"1534","SAMEA3541498","PRJEB10878","ERR1018214","CRC"
"1535","SAMEA3541499","PRJEB10878","ERR1018215","CRC"
"1536","SAMEA3541500","PRJEB10878","ERR1018216","CRC"
"1537","SAMEA3541502","PRJEB10878","ERR1018218","CRC"
"1538","SAMEA3541503","PRJEB10878","ERR1018219","CRC"
"1539","SAMEA3541504","PRJEB10878","ERR1018220","CRC"
"1540","SAMEA3541505","PRJEB10878","ERR1018221","CRC"
"1541","SAMEA3541506","PRJEB10878","ERR1018222","CRC"
"1542","SAMEA3541507","PRJEB10878","ERR1018223","CRC"
"1543","SAMEA3541508","PRJEB10878","ERR1018224","CRC"
"1544","SAMEA3541509","PRJEB10878","ERR1018225","CRC"
"1545","SAMEA3541510","PRJEB10878","ERR1018226","CRC"
"1546","SAMEA3541511","PRJEB10878","ERR1018227","CRC"
"1547","SAMEA3541512","PRJEB10878","ERR1018228","CRC"
"1548","SAMEA3541513","PRJEB10878","ERR1018229","CRC"
"1549","SAMEA3541514","PRJEB10878","ERR1018230","CRC"
"1550","SAMEA3541515","PRJEB10878","ERR1018231","CRC"
"1551","SAMEA3541525","PRJEB10878","ERR1018241","CRC"
"1552","SAMEA3541564","PRJEB10878","ERR1018280","CRC"
"1553","SAMEA3541565","PRJEB10878","ERR1018281","CRC"
"1554","SAMEA3541567","PRJEB10878","ERR1018283","CRC"
"1555","SAMEA3541568","PRJEB10878","ERR1018284","CRC"
"1556","SAMEA3541569","PRJEB10878","ERR1018285","CRC"
"1557","SAMEA3541570","PRJEB10878","ERR1018286","CRC"
"1558","SAMEA3541571","PRJEB10878","ERR1018287","CRC"
"1559","SAMEA3541572","PRJEB10878","ERR1018288","CRC"
"1560","SAMEA3541573","PRJEB10878","ERR1018289","CRC"
"1561","SAMEA3541574","PRJEB10878","ERR1018290","CRC"
"1562","SAMEA3541575","PRJEB10878","ERR1018291","CRC"
"1563","SAMEA3541576","PRJEB10878","ERR1018292","CRC"
"1564","SAMEA3541577","PRJEB10878","ERR1018293","CRC"
"1565","SAMEA3541578","PRJEB10878","ERR1018294","CRC"
"1566","SAMEA3541579","PRJEB10878","ERR1018295","CRC"
"1567","SAMEA3541580","PRJEB10878","ERR1018296","CRC"
"1568","SAMEA3541581","PRJEB10878","ERR1018297","CRC"
"1569","SAMEA3541582","PRJEB10878","ERR1018298","CRC"
"1570","SAMEA3541583","PRJEB10878","ERR1018299","CRC"
"1571","SAMEA3541584","PRJEB10878","ERR1018300","CRC"
"1572","SAMEA3541585","PRJEB10878","ERR1018301","CRC"
"1573","SAMEA3541586","PRJEB10878","ERR1018302","CRC"
"1574","SAMEA3541587","PRJEB10878","ERR1018303","CRC"
"1575","SAMEA3541588","PRJEB10878","ERR1018304","CRC"
"1576","SAMEA3541589","PRJEB10878","ERR1018305","CRC"
