"","identity","degree","betweenness","eigenvector","Kingdom","Phylum","Class","Order","Family","Genus"
"89153","Lachnoclostridium [Clostridium] hylemonae",5,11953,1.28319670103965e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"831","Butyrivibrio fibrisolvens",5,13138,1.43003931650111e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Butyrivibrio"
"66219","Lachnoclostridium phytofermentans",5,32795,8.63455348760133e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"617123","Lachnoanaerobaculum umeaense",5,27381,7.48804923487795e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum"
"1679721","Herbinix luporum",5,8706,1.1826043861445e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Herbinix"
"1264","Ruminococcus albus",5,25927,4.16764609038516e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"1796620","Acutalibacter muris",5,25800,6.80172008637335e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Acutalibacter"
"253239","Ethanoligenens harbinense",5,12435,4.48745534748653e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens"
"2109687","Oscillibacter sp. PEA192",5,22814,0.00244184243486349,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Oscillibacter"
"2093857","Dysosmobacter welbionis",5,16796,0.0011568600883102,"Bacteria","Firmicutes","Clostridia","Clostridiales","Oscillospiraceae","Dysosmobacter"
"1507512","Romboutsia hominis",5,10689,9.07237643640286e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"1731","Peptoclostridium acidaminophilum",5,43212,2.22998201936735e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptoclostridium"
"1042156","Clostridium sp. SY8519",5,13437,5.32716660450798e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"169679","Clostridium saccharobutylicum",5,5966,9.59293484575129e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"36745","Clostridium saccharoperbutylacetonicum",5,7052,1.40667362062386e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"29341","Clostridium argentinense",5,50622,9.19509239287195e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"332101","Clostridium drakei",5,55847,3.13791371238986e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium"
"1297617","Intestinimonas butyriciproducens",5,10564,0.000436486268086568,"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas"
"433296","Aminipila butyrica",5,80497,5.05381040290036e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XIII. Incertae Sedis","Aminipila"
"1677857","Hungateiclostridium saccincola",5,32018,4.4626345914875e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Hungateiclostridiaceae","Hungateiclostridium"
"49338","Desulfitobacterium hafniense",5,78600,8.69128434707774e-06,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium"
"1564","Desulfotomaculum ruminis",5,46131,1.3663219859078e-07,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum"
"35701","Heliobacterium modesticaldum",5,54247,7.93554853325005e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacterium"
"73919","Thermaerobacter marianensis",5,91333,1.42286833713564e-05,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis","Thermaerobacter"
"36854","Desulfitobacterium dehalogenans",5,33973,4.62498172178245e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium"
"47490","Thermoanaerobacterium aotearoense",5,32263,1.26026688162878e-07,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis","Thermoanaerobacterium"
"1525","Moorella thermoacetica",5,64962,1.38502382856563e-06,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Moorella"
"971","Selenomonas ruminantium",5,56147,2.19926201419732e-07,"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas"
"39778","Veillonella dispar",5,8846,5.12030529225996e-10,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"248315","Veillonella rodentium",5,48584,2.29795617372382e-10,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella"
"2144175","Megasphaera stantonii",5,15128,1.90415076095009e-08,"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera"
"867076","Paenibacillus sp. IHB B 3084",5,56459,3.74397607738434e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1536769","Paenibacillus sp. FSL P4-0081",5,44154,4.16720641428273e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1870820","Paenibacillus ihbetae",5,77967,2.08355333172422e-05,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1462996","Paenibacillus yonginensis",5,52475,2.35842280309669e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"2509456","Paenibacillus protaetiae",5,41151,1.09063613643159e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"86170","Syntrophothermus lipocalidus",5,45314,8.05972451877729e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae","Syntrophothermus"
"1390","Bacillus amyloliquefaciens",5,21743,9.5477012306045e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"324767","Bacillus infantis",5,26937,3.71358502814545e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"35841","Bacillus thermoamylovorans",5,36372,5.52812972244779e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"1441095","Bacillus gobiensis",5,18384,3.21324328077464e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"159743","Paenibacillus terrae",5,58070,1.39077787147471e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"1482","Virgibacillus halodenitrificans",5,31481,1.87002366929345e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus"
"2052660","Oceanobacillus sp. 160",5,106215,5.9821092864542e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus"
"42838","Ammonifex degensii",5,111127,1.03742925922964e-06,"Bacteria","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae","Ammonifex"
"1294","Staphylococcus muscae",5,33252,2.23783560542593e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"1571","Sporosarcina ureae",5,33448,1.57915276310204e-09,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"1508404","Jeotgalibacillus malaysiensis",5,53276,1.65560389114259e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Jeotgalibacillus"
"459472","Planomicrobium glaciei",5,43534,8.94689039650078e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planomicrobium"
"332410","Exiguobacterium sibiricum",5,42657,3.57197313652505e-09,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Exiguobacterium"
"1638","Listeria ivanovii",5,44760,3.42201159954088e-06,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria"
"1903704","Tumebacillus avium",5,36975,9.0090415398862e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Alicyclobacillaceae","Tumebacillus"
"2026","Thermoactinomyces vulgaris",5,50867,2.54070750536182e-08,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Thermoactinomyces"
"37482","Laceyella sacchari",5,45077,2.04370163072921e-07,"Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Laceyella"
"45634","Streptococcus cristatus",5,41870,5.08814254994608e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"113107","Streptococcus australis",5,23821,2.55295686182031e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"2592653","Lactococcus sp. KACC 19320",5,34512,5.52943074286941e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"2714946","Vagococcus sp. HDW17A",5,62097,4.84531877854969e-08,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus"
"1596","Lactobacillus gasseri",5,14424,1.52332230329044e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"1590","Lactiplantibacillus plantarum",5,23989,1.31406962804935e-06,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus"
"97478","Limosilactobacillus Lactobacillus mucosae",5,17262,3.16201517838859e-05,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus"
"152331","Lentilactobacillus Lactobacillus parabuchneri",5,118519,1.04530585862001e-07,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lentilactobacillus"
"1618","Liquorilactobacillus Lactobacillus mali",5,74005,9.21815473952575e-09,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Liquorilactobacillus"
"637971","Levilactobacillus Lactobacillus koreensis",5,41206,1.00163786515634e-09,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus"
"2714929","Erysipelothrix sp. HDW6B",5,46895,3.38521056576374e-08,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"1648","Erysipelothrix rhusiopathiae",5,47807,6.98952910901525e-08,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelothrix"
"1555112","Limnochorda pilosa",5,194011,1.54392380399568e-06,"Bacteria","Firmicutes","Limnochordia","Limnochordales","Limnochordaceae","Limnochorda"
"33905","Bifidobacterium thermophilum",5,36628,1.84905216831407e-06,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"1694","Bifidobacterium pseudolongum",5,67248,7.85916732531994e-07,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"2018025","Kitasatospora sp. MMS16-BH015",5,157584,1.2876887138869e-06,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora"
"1935379","Leucobacter muris",5,57324,2.1995612014816e-06,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leucobacter"
"2220095","Cryobacterium soli",5,49775,2.00087109264935e-08,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"1711","Cellulomonas flavigena",5,51959,1.45283591438645e-05,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas"
"36814","Mycolicibacterium rhodesiae",5,59870,2.69696174802316e-06,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycolicibacterium"
"120959","Mycobacterium kubicae",5,122405,4.20612263435863e-08,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"2683590","Diaminobutyricimonas sp. LJ205",5,36672,1.32338491770557e-07,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Diaminobutyricimonas"
"2750011","Streptomyces sp. Rer75",5,37045,9.13878818929512e-10,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"1828","Rhodococcus fascians",5,17690,1.16366983805025e-08,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"2692233","Streptomyces sp. HF10",5,45277,2.85203021161172e-07,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"1804986","Amycolatopsis albispora",5,114825,4.94962444132415e-07,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis"
"103731","Saccharothrix espanaensis",5,37764,2.2756942136088e-08,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix"
"103733","Saccharothrix syringae",5,37553,5.16382753853974e-09,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix"
"1814","Amycolatopsis methanolica",5,22562,5.17345208352604e-10,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Amycolatopsis"
"860235","Kibdelosporangium phytohabitans",5,72279,7.12594973741302e-07,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kibdelosporangium"
"131112","Arcanobacterium phocae",5,53588,5.53755117151148e-08,"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Arcanobacterium"
"604330","Olsenella umbonata",5,4827,5.32210623225436e-07,"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella"
"28227","Mycoplasma penetrans",5,45307,5.07909865654175e-09,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"216935","Spiroplasma culicicola",5,64353,1.12930424443822e-07,"Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma"
"2725994","Mycoplasma sp. 1654_15",5,34336,2.07165663958268e-08,"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"2051906","Exiguobacterium sp. N4-1P",5,58760,1.3204846152695e-09,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Exiguobacterium"
"1752064","Leptolyngbya sp. NIES-3755",5,69565,1.214651916232e-07,"Bacteria","Cyanobacteria","","Synechococcales","Leptolyngbyaceae","Leptolyngbya"
"111781","Leptolyngbya sp. PCC 7376",5,33538,5.9447317793385e-07,"Bacteria","Cyanobacteria","","Synechococcales","Leptolyngbyaceae","Leptolyngbya"
"1807358","Stanieria sp. NIES-3757",5,42629,2.73579197517359e-06,"Bacteria","Cyanobacteria","","Pleurocapsales","Dermocarpellaceae","Stanieria"
"1182568","Deinococcus puniceus",5,105244,2.4406651988744e-09,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"1299","Deinococcus radiodurans",5,82401,3.35854629937584e-09,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"1806508","Candidatus Promineofilum breve",5,37774,4.16066083267919e-06,"Bacteria","Chloroflexi","Ardenticatenia","Ardenticatenales","Ardenticatenaceae","Candidatus Promineofilum"
"1499973","Escherichia marmotae",5,6735,3.00469427699628e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia"
"61645","Enterobacter asburiae",5,13277,1.66124426099747e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"1812935","Enterobacter roggenkampii",5,4190,9.26791670004328e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"69218","Enterobacter cancerogenus",5,21444,7.28336969347343e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"299767","Enterobacter ludwigii",5,36549,1.69473136106697e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"2027919","Enterobacter cloacae complex sp.",5,32775,9.55005255022562e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"2478464","Enterobacter oligotrophicus",5,31354,6.96508342100864e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter"
"573","Klebsiella pneumoniae",5,6685,1.31725916379255e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"2153354","Klebsiella huaxiensis",5,25453,4.52753523906989e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"575","Raoultella planticola",5,22840,1.20874637060927e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella"
"413497","Cronobacter dublinensis",5,51206,5.22652736492961e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Cronobacter"
"549","Pantoea agglomerans",5,53105,1.3448876172858e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"1209493","Halomicronema hongdechloris",5,58850,1.74471888878878e-07,"Bacteria","Cyanobacteria","","Synechococcales","Prochlorotrichaceae","Halomicronema"
"1484158","Pantoea sp. PSNIH1",5,43471,6.04050393791576e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"929813","Gibbsiella quercinecans",5,60517,1.38951037897284e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Gibbsiella"
"587","Providencia rettgeri",5,68797,1.32076422907848e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia"
"126385","Providencia alcalifaciens",5,73501,3.25762646102486e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia"
"554","Pectobacterium carotovorum",5,47479,1.17566126368034e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium"
"2729423","Pseudomonas sp. SK",5,69025,3.76545233615293e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1573711","Pseudomonas sp. R76",5,72687,3.33285913445774e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"2054919","Pseudomonas sp. S09G 359",5,51020,1.62819497710914e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"47883","Pseudomonas synxantha",5,26274,2.67944272504752e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"1575","Leifsonia xyli",5,24072,2.29445345776887e-07,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia"
"34062","Moraxella osloensis",5,39133,6.5646961678185e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"2267264","Alteromonas sp. RKMC-009",5,74010,2.70575441235297e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas"
"2259620","Hydrocarboniclastica marina",5,42112,2.44144745645717e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Hydrocarboniclastica"
"716","Actinobacillus suis",5,34467,5.22242414515236e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Actinobacillus"
"1435069","Vibrio tritonius",5,101982,1.38548187040301e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"29495","Vibrio navarrensis",5,112496,1.69930937087729e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"1718","Corynebacterium glutamicum",5,117220,1.58497776676294e-08,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium"
"1918945","Vibrio spartinae",5,37711,8.47049231042744e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"40324","Stenotrophomonas maltophilia",5,59460,4.72725045377312e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"343","Xanthomonas translucens",5,79479,1.65040241707299e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"56453","Xanthomonas cucurbitae",5,48598,2.34657199757128e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"2501295","Dyella sp. M7H15-1",5,72535,2.20810720112665e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella"
"2609667","Halomonas sp. NBT06E8",5,44953,1.94459885827439e-09,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas"
"1031538","Neptunomonas concharum",5,58017,1.33595666863296e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas"
"1027273","Endozoicomonas montiporae",5,35201,2.26121501943227e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas"
"1336806","Reinekea forsetii",5,99669,8.50940649481467e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Reinekea"
"147268","Thiomicrospira cyclica",5,24196,7.21895092432032e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira"
"648","Aeromonas caviae",5,87125,1.64208914568648e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"1229","Nitrosococcus oceani",5,47185,5.79093320842187e-07,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus"
"28199","Arcobacter nitrofigilis",5,33281,1.21577894193881e-08,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter"
"269261","Nitratifractor salsuginis",5,83384,3.43652655191598e-08,"Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Sulfurovaceae","Nitratifractor"
"876","Desulfovibrio desulfuricans",5,4172,1.1679362721429e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"241368","Desulfovibrio ferrophilus",5,79729,3.96445352578782e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"2678688","Pseudodesulfovibrio sp. SRB007",5,47364,3.46881972596231e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio"
"1716143","Pseudodesulfovibrio indicus",5,36621,8.10805212304304e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio"
"57320","Pseudodesulfovibrio profundus",5,83885,0.000147448217997974,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Pseudodesulfovibrio"
"571177","Desulfosarcina alkanivorans",5,92212,6.36274613972814e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfosarcina"
"218208","Desulfatibacillum aliphaticivorans",5,71541,3.55453055054988e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatibacillum"
"65555","Desulfocapsa sulfexigens",5,105367,5.90152177482108e-08,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfocapsa"
"43","Cystobacter fuscus",5,36216,3.98940447474315e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Archangiaceae","Cystobacter"
"1391653","Vulgatibacter incomptus",5,61238,1.12510358175572e-08,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter"
"1391654","Labilithrix luteola",5,56080,1.53671262204157e-07,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Labilitrichaceae","Labilithrix"
"1603606","Desulfuromonas soudanensis",5,103730,6.92973557799353e-08,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromonas"
"2358","Desulfomonile tiedjei",5,99586,1.24897011730994e-08,"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Desulfomonile"
"2028343","Rhizobium sp. 11515TR",5,43612,8.07020514476913e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"348824","Rhizobium favelukesii",5,53874,1.70765158606311e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"398","Rhizobium tropici",5,120835,1.7739305618345e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium"
"2060726","Neorhizobium sp. SOG26",5,39714,2.26272553112467e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium"
"1842534","Sinorhizobium sp. RAC02",5,69998,1.85170094288275e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium"
"1867719","Phyllobacterium zundukense",5,65977,2.43154992556316e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Phyllobacterium"
"2664417","Devosia sp. D6-9",5,69863,1.31626387614003e-07,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia"
"53399","Hyphomicrobium denitrificans",5,45717,2.2373683748999e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"717785","Hyphomicrobium sp. MC1",5,40759,2.01270107311943e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"1447062","Youhaiella tibetensis",5,42464,2.49198245991303e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Youhaiella"
"271865","Ochrobactrum quorumnocens",5,22109,7.66390456650677e-10,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Brucellaceae","Ochrobactrum"
"686597","Martelella sp. AD-3",5,72937,6.40021554329784e-09,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella"
"1077935","Paracoccus zhejiangensis",5,71366,2.34937335818695e-08,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
